server_date          - entity_type  - entity_name                    - current_status  - additional_details
2022-06-28T16:18:17  - file         - cactus.tar.gz                  - Incomplete upload, skipping... - 
2022-06-28T16:46:36  - file         - README.txt                     - Incomplete upload, skipping... - 
2022-06-28T16:48:15  - folder       - cactus                         - started         - entity_id(s): []
2022-06-28T16:48:15  - file         - README.txt                     - started         - file_id: 0
2022-06-28T16:48:15  - folder       - cactus                         - finished        - entity_id(s): [20171347]
2022-06-28T16:48:17  - file         - README.txt                     - finished        - file_id: 36067501
2022-06-28T16:48:58  - file         - manifest.txt                   - started         - file_id: 0
2022-06-28T16:48:58  - file         - manifest.txt                   - finished        - file_id: 36067504
2022-06-28T16:54:16  - file         - worm.tar.gz                    - Incomplete upload, skipping... - 
2022-06-28T16:56:03  - file         - worm.tar.gz                    - started         - file_id: 0
2022-06-28T16:56:27  - file         - worm.tar.gz                    - finished        - file_id: 36067514
2022-08-20T15:47:45  - file         - worm_data.tar.gz               - Incomplete upload, skipping... - 
2022-08-20T15:49:03  - file         - worm_data.tar.gz               - started         - file_id: 0
2022-08-20T15:49:18  - file         - worm_data.tar.gz               - finished        - file_id: 36732768
2022-08-20T15:59:01  - file         - worm_test.tar.gz               - Incomplete upload, skipping... - 
2022-08-20T16:00:07  - file         - worm_test.tar.gz               - started         - file_id: 0
2022-08-20T16:00:25  - file         - worm_test.tar.gz               - finished        - file_id: 36732771
2022-08-20T19:12:46  - file         - worm_test.tar.gz               - Incomplete upload, skipping... - 
2022-08-22T15:24:13  - file         - fly_data.tar.gz                - Incomplete upload, skipping... - 
2022-08-22T15:25:11  - file         - fly_data.tar.gz                - started         - file_id: 0
2022-08-22T15:25:39  - file         - fly_data.tar.gz                - finished        - file_id: 36750641
2022-08-22T15:26:08  - file         - fly_test.tar.gz                - started         - file_id: 0
2022-08-22T15:26:19  - file         - fly_test.tar.gz                - finished        - file_id: 36750653
2022-08-22T15:30:04  - file         - mouse_data.tar.gz              - started         - file_id: 0
2022-08-22T15:31:59  - file         - mouse_data.tar.gz              - finished        - file_id: 36750740
2022-08-22T15:49:35  - file         - mouse_test.tar.gz              - Incomplete upload, skipping... - 
2022-08-22T16:00:17  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-22T16:02:13  - file         - human_test.tar.gz              - started         - file_id: 0
2022-08-22T16:03:33  - file         - human_test.tar.gz              - finished        - file_id: 36751242
2022-08-22T16:14:18  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T07:48:23  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T07:49:31  - file         - worm_test.tar.gz               - Incomplete upload, skipping... - 
2022-08-23T07:50:33  - file         - worm_test.tar.gz               - started         - file_id: 0
2022-08-23T07:50:55  - file         - worm_test.tar.gz               - finished        - file_id: 36773603
2022-08-23T08:02:58  - file         - mouse_test.tar.gz              - started         - file_id: 0
2022-08-23T08:05:26  - file         - mouse_test.tar.gz              - finished        - file_id: 36773822
2022-08-23T08:15:50  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T08:32:00  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T08:56:57  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T09:57:40  - file         - human_data.tar.gz              - Incomplete upload, skipping... - 
2022-08-23T10:07:15  - file         - human_data.tar.gz              - started         - file_id: 0
2022-08-23T10:09:42  - file         - human_data.tar.gz              - finished        - file_id: 36779849
2022-11-17T13:38:59  - file         - worm_refs.tar.gz               - Incomplete upload, skipping... - 
2022-11-17T13:40:12  - file         - fly_refs.tar.gz                - started         - file_id: 0
2022-11-17T13:40:53  - file         - fly_refs.tar.gz                - finished        - file_id: 38236794
2022-11-17T13:45:34  - file         - mouse_refs.tar.gz              - started         - file_id: 0
2022-11-17T13:47:12  - file         - mouse_refs.tar.gz              - finished        - file_id: 38236839
2022-11-17T13:56:08  - file         - human_refs.tar.gz              - started         - file_id: 0
2022-11-17T13:58:31  - file         - human_refs.tar.gz              - finished        - file_id: 38237028
2022-11-17T13:59:41  - file         - worm_test.tar.gz               - started         - file_id: 0
2022-11-17T14:00:00  - file         - worm_test.tar.gz               - finished        - file_id: 38237031
2022-11-17T14:00:01  - file         - fly_test.tar.gz                - started         - file_id: 0
2022-11-17T14:00:14  - file         - fly_test.tar.gz                - finished        - file_id: 38237034
2022-11-17T14:03:20  - file         - mouse_test.tar.gz              - started         - file_id: 0
2022-11-17T14:04:33  - file         - mouse_test.tar.gz              - finished        - file_id: 38237058
2022-11-17T14:19:09  - file         - human_test.tar.gz              - started         - file_id: 0
2022-11-17T14:19:12  - file         - README.txt                     - started         - file_id: 0
2022-11-17T14:19:12  - file         - README.txt                     - finished        - file_id: 38237219
2022-11-17T14:20:17  - file         - worm_refs.tar.gz               - started         - file_id: 0
2022-11-17T14:20:34  - file         - worm_refs.tar.gz               - finished        - file_id: 38237225
2022-11-17T14:21:01  - file         - human_test.tar.gz              - finished        - file_id: 38237220
2022-11-18T16:05:40  - file         - README.txt                     - Incomplete upload, skipping... - 
2022-11-18T16:05:43  - file         - manifest.txt                   - started         - file_id: 0
2022-11-18T16:05:44  - file         - manifest.txt                   - finished        - file_id: 38251363
2022-11-18T16:06:01  - file         - README.txt                     - started         - file_id: 0
2022-11-18T16:06:01  - file         - README.txt                     - finished        - file_id: 38237219
2022-11-21T13:53:31  - file         - README.txt                     - Incomplete upload, skipping... - 
